wafer,id,data,mean,sigma3,perc_3sigma,range,range_perc,max,min,condition
1,Slot01,6/16/2016,553.3,19.7,3.6,34.4,6.2,571.6,537.2,condition1
2,Slot02,6/13/2016,551.7,22.4,4.1,38.1,6.9,571.2,533.1,condition1
3,Slot03,6/13/2016,550.9,22.4,4.1,39.7,7.2,571.9,532.2,condition1
4,Slot04,6/13/2016,550.2,22.4,4.1,41,7.5,573.5,532.5,condition1
5,Slot05,6/13/2016,548.6,22.3,4.1,42.6,7.8,572.3,529.6,condition1
6,Slot06,6/13/2016,548.5,21.1,3.8,40.8,7.4,572.7,531.9,condition1
7,Slot07,6/13/2016,547,20.3,3.7,38.1,7,569.6,531.6,condition1
8,Slot08,6/13/2016,545.3,18.8,3.4,37.1,6.8,568.7,531.6,condition1
9,Slot09,6/13/2016,543.4,18.2,3.4,33.7,6.2,563.2,529.5,condition1
10,Slot10,6/13/2016,545.9,24.5,4.5,47.7,8.7,577.5,529.8,condition1
1,Slot01,6/16/2016,553,28.8,5.2,37.2,6.7,564.9,527.7,condition2
2,slot02,6/14/2016,555.1,24.8,4.5,37.9,6.8,571.1,533.2,condition2
3,Slot03,6/14/2016,555.4,25.2,4.5,41.1,7.4,572.5,531.4,condition2
4,Slot04,6/14/2016,555.7,25.7,4.6,43.4,7.8,574.7,531.3,condition2
5,Slot05,6/14/2016,555.2,25,4.5,42.2,7.6,573.4,531.2,condition2
6,Slot06,6/14/2016,554.4,25.6,4.6,46,8.3,575.9,529.8,condition2
7,Slot07,6/14/2016,554.5,23.3,4.2,38.2,6.9,575.9,537.7,condition2
8,Slot08,6/14/2016,553.9,24.6,4.4,42.3,7.6,572.5,530.2,condition2
9,Slot09,6/14/2016,554.8,22.1,4,34.9,6.3,573.4,538.5,condition2
10,Slot10,6/14/2016,550.4,23.8,4.3,43.1,7.8,571.3,528.2,condition2
1,Slot01,6/16/2016,647.4,31.5,4.9,56.9,8.8,677.9,621,condition3
2,slot02,6/14/2016,644.4,34.1,5.3,57.4,8.9,669.7,612.2,condition3
3,Slot03,6/14/2016,643.7,32.5,5.1,56.6,8.8,669.5,612.8,condition3
4,Slot04,6/14/2016,642.6,31.5,4.9,52.8,8.2,667.1,614.3,condition3
5,Slot05,6/14/2016,641,31.6,4.9,55.1,8.6,666.2,611.2,condition3
6,Slot06,6/14/2016,641.1,31.3,4.9,61.3,9.6,674.8,613.5,condition3
7,Slot07,6/14/2016,639.8,32.2,5,67.7,10.6,680.2,612.5,condition3
8,Slot08,6/14/2016,637.8,28.1,4.4,53.4,8.4,666,612.6,condition3
9,Slot09,6/14/2016,637.1,26.6,4.2,50,7.8,664.9,614.9,condition3
10,Slot10,6/14/2016,640.5,31.8,5,63.9,10,682.9,619,condition3
1,Slot01,6/16/2016,562.5,26.1,4.6,33.1,5.9,574.9,541.7,condition4
2,Slot02,6/16/2016,560.7,28.6,5.1,37,6.6,576.8,539.8,condition4
3,Slot03,6/16/2016,560.7,27.5,4.9,35.9,6.4,576,540.2,condition4
4,Slot04,6/16/2016,560.3,26.4,4.7,34.5,6.2,575.2,540.7,condition4
5,Slot05,6/16/2016,559.9,26.7,4.8,36.4,6.5,575.7,539.3,condition4
6,Slot06,6/16/2016,559.6,25.2,4.5,34.3,6.1,573.8,539.5,condition4
7,Slot07,6/16/2016,558.6,23.8,4.3,32.2,5.8,571.3,539.2,condition4
8,Slot08,6/16/2016,557.8,23.6,4.2,35,6.3,572.9,537.9,condition4
9,Slot09,6/16/2016,557.6,22.3,4,34.7,6.2,574,539.3,condition4
10,Slot10,6/16/2016,563.1,24.3,4.3,47.9,8.5,590.3,542.4,condition4
