X,Y,slot1,slot2,slot3,slot4,slot5,slot6,slot7,slot8,slot9,slot10
0,0,5722.282,5714.767,5707.366,5695.296,5686.507,5679.49,5656.822,5640.4,5621.498,5634.569
0,-132,5548.137,5541.968,5549.663,5546.114,5536.063,5536.027,5531.523,5512.504,5519.621,5604.741
-132,0,5593.005,5530.254,5525.259,5532.282,5522.66,5528.199,5521.108,5514.964,5512.301,5537.052
0,132,5605.571,5596.288,5592.095,5588.658,5583.632,5582.782,5569.011,5572.949,5570.141,5604.829
132,0,5619.587,5612.967,5612.817,5603.857,5599.333,5600.49,5584.867,5578.795,5587.47,5665.274
76,-76,5680.125,5670.639,5666.522,5653.995,5647.83,5644.158,5628.772,5616.661,5612.265,5662.772
-76,-76,5668.622,5657.817,5660.75,5657.797,5655.652,5650.678,5636.512,5625.305,5610.57,5641.956
-76,76,5674.315,5650.938,5645.913,5642.891,5634.242,5633.258,5617.503,5610.295,5598.543,5614.052
76,76,5697.505,5695.24,5693.908,5687.312,5681.629,5675.049,5660.95,5648.993,5644.336,5668.898
76,0,5713.098,5705.873,5700.685,5692.762,5687.383,5678.938,5659.458,5642.681,5631.151,5658.676
0,-76,5702.847,5694.907,5692.197,5683.17,5676.869,5667.598,5649.132,5639.6,5623.343,5652.91
-76,0,5695.778,5683.205,5678.064,5672.814,5659.681,5658.303,5639.621,5622.839,5611.581,5623.187
0,76,5702.562,5692.825,5687.27,5682.771,5674.18,5667.388,5648.666,5634.774,5624.132,5636.986
102,102,5559.079,5563.783,5561.138,5553.798,5551.092,5548.595,5533.49,5539.162,5550.411,5629.278
102,-102,5503.206,5482.715,5490.659,5472.802,5468.703,5469.21,5465.777,5456.376,5482.665,5661.76
-102,-102,5442.716,5415.952,5438.103,5454.829,5445.801,5451.256,5444.963,5433.401,5423.36,5475.265
-102,102,5514.952,5435.858,5427.334,5428.681,5428.966,5442.299,5443.558,5443.199,5438.54,5477.134
32.27,139.09,5545.832,5545.631,5538.187,5535.783,5537.601,5530.865,5521.858,5529.643,5537.17,5603.065
139.09,32.27,5562.274,5563.546,5563.172,5550.555,5554.428,5554.621,5543.535,5548.545,5567.02,5664.406
139.09,-37.27,5494.775,5496.6,5493.422,5484.054,5475.948,5484.957,5480.966,5486.969,5517.301,5664.297
32.27,-139.09,5422.007,5404.25,5416.133,5407.087,5392.999,5394.907,5391.53,5378.991,5398.482,5539.142
-37.27,-139.09,5417.082,5418.617,5441.6,5446.19,5432.872,5435.545,5437.756,5414.437,5427.172,5521.415
-139.09,-37.27,5494.714,5397.923,5401.606,5412.453,5406.996,5419.153,5412.256,5400.306,5393.471,5424.363
-139.09,37.27,5569.318,5451.871,5438.856,5451.712,5446.498,5465.899,5463.036,5459.386,5457.359,5492.608
-37.27,139.09,5501.621,5487.485,5469.984,5478.199,5481.322,5477.164,5474.545,5485.646,5490.172,5549.831
66,114.32,5630.85,5633.65,5629.999,5622.667,5621.998,5617.405,5604.806,5601.759,5602.396,5649.403
114.32,66,5626.786,5628.508,5628.364,5619.558,5618.083,5615.842,5602.212,5601.053,5605.256,5658.995
114.32,-66,5607.616,5597.521,5598.467,5585.404,5581.723,5582.625,5571.841,5571.687,5577.661,5685.588
66,-114.32,5553.382,5536.324,5540.318,5520.888,5523.201,5519.147,5508.787,5497.708,5496.463,5600.02
-66,-114.32,5559.257,5557.182,5573.229,5575.654,5567.851,5567.784,5560.715,5545.732,5541.521,5586.935
-114.32,-66,5573.678,5541.404,5547.331,5551.208,5547.838,5552.501,5542.712,5530.589,5519.141,5543.679
-114.32,66,5623.51,5566.902,5556.603,5560.624,5552.868,5560.463,5558.775,5552.469,5547.022,5570.151
-66,114.32,5585.335,5561.784,5552.298,5553.325,5544.366,5547.114,5538.839,5538.54,5535.502,5566.868
27.95,104.32,5686.285,5681.273,5678.399,5671.51,5667.28,5659.669,5647.123,5638.92,5633.713,5654.805
104.32,27.95,5697.775,5696.409,5692.413,5687.224,5681.866,5674.146,5660.002,5651.492,5643.407,5677.891
104.32,-27.95,5682.909,5680.202,5675.762,5665.333,5660.991,5656.667,5642.381,5631.246,5631.036,5675.699
27.95,-104.32,5666.261,5658.348,5655.299,5646.859,5639.417,5632.728,5621.498,5607.01,5598.762,5651.998
-27.95,-104.32,5667.005,5663.934,5664.607,5660.711,5656.41,5652.368,5640.023,5627.898,5619.039,5658.38
-104.32,-27.95,5661.808,5642.979,5643.646,5638.165,5629.753,5629.052,5617.514,5605.412,5590.517,5607.719
-104.32,27.95,5669.637,5645.188,5641.215,5636.662,5631.335,5629.233,5617.407,5608.101,5594.955,5610.848
-27.95,104.32,5670.835,5664.408,5656.542,5655.219,5645.977,5642.085,5627.473,5621.051,5609.167,5626.424
64.7,64.7,5709.55,5708.64,5703.063,5695.521,5688.325,5684.893,5665.791,5652.454,5647.251,5668.935
64.7,-64.7,5692.173,5684.699,5678.817,5671.396,5662.082,5656.529,5639.033,5627.409,5617.642,5652.643
-64.7,-64.7,5685.086,5679.878,5678.088,5671.563,5668.411,5662.528,5647.239,5633.605,5613.918,5644.974
-64.7,64.7,5685.017,5673.207,5668.129,5660.766,5653.438,5648.134,5631.755,5621.057,5611.409,5618.59
43.4,43.4,5716.679,5710.605,5702.887,5697.037,5688.848,5680.53,5662.268,5651.242,5637.815,5654.153
43.4,-43.4,5707.198,5703.811,5696.782,5686.992,5674.228,5670.554,5650.993,5637.719,5618.775,5646.027
-43.43,-43.43,5701.52,5693.056,5689.279,5683.931,5677.366,5670.045,5649.322,5637.684,5620.561,5639.453
-43.4,43.4,5699.751,5691.802,5684.343,5678.519,5668.379,5662.729,5645.568,5630.335,5612.689,5624.364
0,146.99,5690.731,5679.698,5655.986,5666.337,5686.661,5666.852,5654.659,5671.713,5689.95,5791.175
0,-146.99,5462.044,5462.383,5503.289,5507.449,5505.947,5489.635,5512.02,5489.005,5519.546,5712.938
103.93,103.93,5748.576,5767.722,5760.435,5752.019,5757.357,5738.114,5713.418,5728.713,5740.268,5865.415
103.93,-103.93,5701.912,5658.326,5695.278,5663.077,5676.67,5659.763,5670.277,5653.157,5677.685,5903.056
-103.93,-103.93,5624.013,5588.26,5615.839,5646.51,5646.864,5651.235,5655.909,5624.977,5608.323,5662.711
-103.93,103.93,5729.998,5628.176,5598.518,5615.274,5642.962,5636.802,5646.724,5649.583,5642.088,5680.243
